Title,latitude,longitude
0,48.85,-122.68
1,47.24,-122.08
2,47.24,-122.09
3,42.49,-113.18
4,45.23,-117.07
5,35.41,-114.1
6,35.81,-118.07
7,33.56,-117.05
8,37.02,-120.04
9,33.89,-117.05
10,33.15,-116.99
11,34.43,-117.37
12,37.31,-120.26
13,35.87,-119.36
14,41.2,-121.38
15,35.4,-120.57
16,39.49,-120.31
17,39.03,-120.13
18,35.88,-118.02
19,39.82,-119.75
20,38.86,-119.58
21,39.14,-119.81
22,39.49,-118.74
23,39.59,-119.29
24,40.0,-118.82
25,39.59,-119.36
26,39.33,-118.37
27,39.04,-118.62
28,40.26,-118.77
29,37.91,-111.44
30,33.0,-112.5
31,31.95,-106.43
32,44.18,-96.07
33,41.08,-86.24
34,34.86,-77.36
35,35.06,-77.61
36,35.24,-76.97
37,35.0,-77.51
38,32.75,-90.43
39,37.82,-92.89
40,32.74,-90.36
41,35.0,-92.38
42,36.73,-92.68
43,47.01,-122.77
44,47.59,-122.19
45,46.4,-124.03
46,47.1,-124.04
47,43.72,-111.15
48,48.0,-122.41
49,46.11,-123.91
50,46.14,-122.99
51,46.34,-123.98
52,46.6,-119.04
53,43.46,-116.27
54,47.09,-119.89
55,43.96,-117.1
56,45.91,-119.27
57,43.08,-112.57
58,42.5,-114.52
59,42.54,-113.42
60,46.32,-119.58
61,43.35,-116.55
62,46.38,-119.95
63,44.55,-117.15
64,47.59,-118.52
65,47.27,-119.12
66,45.98,-120.0
67,45.05,-117.93
68,46.3,-117.09
69,45.01,-123.57
70,45.83,-123.57
71,44.56,-116.55
72,46.6,-120.68
73,45.82,-120.58
74,44.49,-121.15
75,45.04,-120.36
76,45.23,-120.3
77,44.6,-116.79
78,44.84,-116.99
79,44.81,-121.08
80,45.39,-119.42
81,46.38,-117.66
82,47.62,-119.87
83,43.83,-111.44
84,44.71,-121.11
85,46.32,-123.29
86,45.52,-122.19
87,46.8,-124.48
88,44.78,-123.94
89,47.92,-124.52
90,46.37,-123.62
91,47.74,-124.26
92,45.76,-123.67
93,47.9,-124.5
94,46.87,-123.77
95,46.93,-122.64
96,45.85,-122.74
97,46.37,-123.79
98,47.95,-124.38
99,45.83,-122.63
100,47.52,-123.08
101,46.36,-122.49
102,44.19,-122.4
103,47.17,-123.34
104,47.01,-123.6
105,48.31,-121.96
106,48.5,-121.97
107,47.2,-123.28
108,47.66,-124.18
109,46.46,-122.36
110,46.05,-122.27
111,42.52,-114.78
112,42.32,-114.62
113,42.47,-114.85
